Vehicle,Date/Time,Location,Latitude,Longitude,Speed (mph),Bearing (°),Odometer (mi),Total Fuel (gal),Total Engine Hours,Type
005,4/1/2024  5:17 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,,356.48,79914.77,196.59,6805.84,Breadcrumb
005,4/1/2024  5:25 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,,356.48,79914.77,196.59,6805.84,Breadcrumb
005,4/1/2024  8:38 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,0,356.48,79914.77,196.63,6805.87,Breadcrumb
005,4/1/2024  8:39 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,0,356.48,79914.77,196.64,6805.89,Breadcrumb
005,4/1/2024  8:40 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,0,356.48,79914.77,196.65,6805.9,Breadcrumb
005,4/1/2024  8:41 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,0.6,356.48,79914.77,196.66,6805.92,Breadcrumb
005,4/1/2024  8:42 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,5.4,356.48,79914.77,196.66,6805.93,Vehicle moving
005,4/1/2024  8:42 AM,"5158 700 South, Salt Lake City, UT 84104",40.755274,-112.0116357,5.6,356.48,79914.78,196.66,6805.93,Breadcrumb
005,4/1/2024  8:42 AM,"5138 700 South, Salt Lake City, UT 84104",40.7553055,-112.0121068,1.7,277.09,79914.79,196.67,6805.93,Breadcrumb
005,4/1/2024  8:42 AM,"5138 700 South, Salt Lake City, UT 84104",40.7553055,-112.0121068,0,277.09,79914.79,196.67,6805.93,Vehicle stopped
005,4/1/2024  8:43 AM,"5138 700 South, Salt Lake City, UT 84104",40.7553055,-112.0121068,0,277.09,79914.79,196.67,6805.95,Breadcrumb
005,4/1/2024  8:44 AM,"5138 700 South, Salt Lake City, UT 84104",40.7553055,-112.0121068,0,277.09,79914.79,196.68,6805.96,Breadcrumb
